Voornaam;Naam;Affiliatie;E-mail;Website;CCCEV;CoreVoc;CPSV-AP;SDG;ICEG-PO;ICEG-Building;ICEG-Person;ICEG-Hydrants
Core Vocabularies Working Group;;;;;A;A;;;;;;
Core Public Service Vocabulary Working Group;;;;;;;A;;;;;
Pavlina;Fragkou;European Commission;;;E;E;;;;;;
Seth;van Hooland;European Commission;;;C;C;;;;;;
Bert;Van Nuffelen;TenForce;;;E;E;;;;;;
Emidio;Stani;PwC EU Services;;;E;E;E;;;;;
Dimitri;Schepers;c;;;E;E;E;;;;;
Miguel;Alvarez Rodriguez;European Commission;;;;;C;E;;;;
Michiel;De Keyzer;PwC EU Services;;;E;E;E;E;;;;
Florian;Barthelemy;PwC;;;E;E;E;E;E;E;;E
Maxime;Pittomvils;PwC EU Services;;;;;;E;;;;
Alexandre;Beaufays;PwC EU Services;;;;E;E;;;;;
Christophe;Bahim;PwC;;;;;;;E;E;;E
Louis;Matha;PwC EU Services;;;;;;;E;;;
Nathan;Ghesquière;PwC EU Services;;;;;E;;;;;
Yaron;Dassonneville;PwC;;;;;;;;E;;
Jitse;De Cock;PwC;;;;;;;;E;;
Christophe;Van Loo;Digitaal Vlaanderen;;;;;;;;C;;
Claude;Hannecart;CIRB/CIBG/BRIC;;;;;;;;C;;
Cindy;Valvekens;Stad Leuven;;;;;;;;C;;
Bart;Boute;WVI;;;;;;;;C;;
Evy;Dewinter;FOD Finance;;;;;;;;C;;
Fabien;Krzewinski;CIRB/CIBG/BRIC;;;;;;;;C;;
Geert;Thijs;Digitaal Vlaanderen;;;;;;;;C;E;
Grégoire;Verhulst;Belgian Buildings Agency;;;;;;;;C;;
Hugues;Lorent;Nationaal Geografisch Instituut (NGI);;;;;;;;C;;
Johan;Boogaerts;Fednot;;;;;;;;C;;
Leticia;Garcia;CFWB;;;;;;;;C;;
Marc;Bruyland;FOD BOSA;;;;;;;;C;;
Martin;Erpicum;CFWB;;;;;;;;C;;
Catalin;Turlica;CIRB/CIBG/BRIC;;;;;;;;C;;
Benoît;Fricheteau;CIRB/CIBG/BRIC;;;;;;;;C;;
Jan;Laporte;Vlaanderen;;;;;;;;C;;
Jordan;Ikalulu;Nationaal Geografisch Instituut (NGI);;;;;;;;C;;
Daniel;Reuviaux;SPW;;;;;;;;C;;
Gael;Kruwialis;Nationaal Geografisch Instituut (NGI);;;;;;;;C;;
Hendrik;van Hemelryck;Digitaal Vlaanderen;;;;;;;;C;;
Jean-Claude;Jasselette;SPW;;;;;;;;C;;
Mieke;Ryckoort;Stad Kortrijk;;;;;;;;C;;
Nathalie;Mertens;FOD Financiën - Patrimoniumdocumentatie;;;;;;;;C;;
Ralph;Boswell;Perspective.brussels;;;;;;;;C;;
Raphaël;Lebrun;Proximus;;;;;;;;C;;
Thomas;Ruhl;CIRB/CIBG/BRIC;;;;;;;;C;;
Yahsmeen;Coulon;Fednot;;;;;;;;C;;
Nathalie;Delattre;Nationaal Geografisch Instituut (NGI);;;;;;;;C;;
Paul;Van Lindt;Vlaanderen;;;;;;;;C;;
Christophe;Verschoore;National Registry;;;;;;;;C;;
Stefan;Van De Venster;National Registry;;;;;;;;C;;
Tom;Bols;National Registry;;;;;;;;C;;
Joris;Pasgang;National Registry;;;;;;;;C;;
Geert;Van Haute;Departement Omgeving (Flanders);;;;;;;;C;;
Liesbet;D’Hondt;FOD BOSA;;;;;;;;C;E;
Jan;Vleugels;bpost;;;;;;;;C;;
François;Du Mortier;paradigm.brussels;;;;;;;;C;;
Vincent;Feremans;PwC ;;;;;;;;;;E
Abdel Hakim;Ghoula;AWV;;;;;;;;;;C
Ariel;Baele;ZS 4 Vesdre Hoëgne et Plateau;;;;;;;;;;C
Arne;Van Der Stuyft;AWV;;;;;;;;;;C
Bart;Reynaert;PIDPA;;;;;;;;;;C
Bart;Vermetten;Pidpa;;;;;;;;;;C
Benoit;Van den Bergh;FOD IBZ;;;;;;;;;;C
Bert;Houcque;HVZ Waasland;;;;;;;;;;C
Carl;De Moor;Waterlink;;;;;;;;;;C
Carole;Nahon;FDG Liége;;;;;;;;;;C
Étienne;Gilquin;SWDE (Société wallonne des distributions d'eau);;;;;;;;;;C
Freddy;Theys;ZS 4 Vesdre Hoëgne et Plateau;;;;;;;;;;C
Hervé;Fanuel;ZS 3 HEMECO (Huy-Hamoir);;;;;;;;;;C
Jan;De Saedeleer;FOD IBZ;;;;;;;;;;C
Jan;Laarmans;FOD IBZ;;;;;;;;;;C
Kim;De Latthauwer;De Watergroep;;;;;;;;;;C
Kristof;Mijnendonckx;Pidpa;;;;;;;;;;C
Laura;Verhulst;HVZ Antwerpen;;;;;;;;;;C
Ludwin;Poppe;Farys;;;;;;;;;;C
Natalie;De Backer;FOD IBZ;;;;;;;;;;C
Nicolas;Soenens;HVZ Zone 1;;;;;;;;;;C
Olivier;Maes;FDG Brussel;;;;;;;;;;C
Oliviers;Cogels;Zone de secours Hainout;;;;;;;;;;C
Patrick;Gillaux;IDEN;;;;;;;;;;C
Philip;Stichelbaut;HVZ Fluvia;;;;;;;;;;C
Pierre;Guillaume;INBW (Intercommunale Brabant-Wallon);;;;;;;;;;C
Pieter;Derveaux;FOD IBZ;;;;;;;;;;C
Rink;Kruk;NGI;;;;;;;;;;C
Rudy;Declercq;HVZ Fluvia;;;;;;;;;;C
Soetkin;Vanassche;Brandweerzone Centrum Gent;;;;;;;;;;C
Tanja;Goethals;Brandweer Zone Centrum Gent;;;;;;;;;;C
Thierry;Wauthier;INBW (Intercommunale Brabant-Wallon);;;;;;;;;;C
Tom;Engelen;HVZ Zuid-West Limburg;;;;;;;;;;C
Valentin;Pierson;SWDE (Société wallonne des distributions d'eau);;;;;;;;;;C
Yves;Loos;HVZ Taxandria;;;;;;;;;;C
